sequence_index,database_id,identity_name,record_type,structure_marker,record_offset,name_offset,name_length,confidence_score
8876,306414,"Niltinho",4,189,0x006152FF,0x00615303,8,100
8878,305442,"Jadílson",4,189,0x00615351,0x00615355,8,100
8879,8826933,"Lincoln",4,189,0x00615376,0x0061537A,7,100
8881,320361,"Serjão",4,189,0x006153BE,0x006153C2,6,100
8884,302237,"Tuta",4,189,0x0061541F,0x00615423,4,100
8885,317086,"Pavão",4,189,0x0061543C,0x00615440,5,100
8887,302030,"Goiano",4,189,0x0061547A,0x0061547E,6,100
8891,306633,"Ismael",4,189,0x006154FA,0x006154FE,6,100
8892,306661,"Vicente",4,189,0x0061551B,0x0061551F,7,100
8895,305560,"Franklin",4,189,0x0061557E,0x00615582,8,100
8896,305576,"Toco",4,189,0x006155A3,0x006155A7,4,100
8898,8435792,"Domingos",4,189,0x006155DF,0x006155E3,8,100
8899,316064,"Binha",4,189,0x00615604,0x00615608,5,100
8902,3300491,"Enílson",4,189,0x00615665,0x00615669,7,100
8905,306885,"Vieira",4,189,0x006156C6,0x006156CA,6,100
8906,3300560,"Luís Gustavo",4,189,0x006156E7,0x006156EB,12,100
8907,306932,"Warley",4,189,0x00615714,0x00615718,6,100
8911,307159,"Edvan",4,189,0x00615798,0x0061579C,5,100
8912,3300594,"Marciel",4,189,0x006157B7,0x006157BB,7,100
8913,305683,"Martins",4,189,0x006157DA,0x006157DE,7,100
8914,307172,"Aloísio",4,189,0x006157FD,0x00615801,7,100
8915,3300708,"Bill",4,189,0x00615820,0x00615824,4,100
8916,305703,"Jones",4,189,0x0061583D,0x00615841,5,100
8917,307226,"Viana",4,189,0x0061585C,0x00615860,5,100
8918,3301243,"Luiz Alberto",4,189,0x0061587B,0x0061587F,12,100
8920,3300775,"Garrinchinha",4,189,0x006158C9,0x006158CD,12,100
8921,318094,"Anselmo",4,189,0x006158F6,0x006158FA,7,100
8923,316890,"Romeu",4,189,0x0061593A,0x0061593E,5,100
8924,307251,"Flamarion",4,189,0x00615959,0x0061595D,9,100
