reference_kind,boundary_kind,relative_offset,occurrence_count,distinct_players,flamengo_players,corinthians_players,assessment,player_names
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-120,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,128,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,132,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-132,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,134,1,1,1,0,ISOLATED_BOUNDARY,"Bruno Santos"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-141,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-142,1,1,1,0,ISOLATED_BOUNDARY,"Bruno Santos"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,144,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-144,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-145,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,148,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,152,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-153,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,153,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-154,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-155,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
PERSON_DATABASE_ID,KNOWN_REFERENCE_BEFORE,-159,1,1,1,0,ISOLATED_BOUNDARY,"Bruno Santos"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,159,1,1,1,0,ISOLATED_BOUNDARY,"Bruno Santos"
PERSON_DATABASE_ID,KNOWN_REFERENCE_BEFORE,-162,1,1,0,1,ISOLATED_BOUNDARY,"Fábio Costa"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,162,1,1,0,1,ISOLATED_BOUNDARY,"Fábio Costa"
PERSON_DATABASE_ID,KNOWN_REFERENCE_BEFORE,-163,1,1,1,0,ISOLATED_BOUNDARY,"André Bahia"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,163,1,1,1,0,ISOLATED_BOUNDARY,"André Bahia"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-163,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
PERSON_DATABASE_ID,KNOWN_REFERENCE_BEFORE,-167,1,1,1,0,ISOLATED_BOUNDARY,"Andrezinho"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,167,1,1,1,0,ISOLATED_BOUNDARY,"Andrezinho"
PERSON_DATABASE_ID,KNOWN_REFERENCE_BEFORE,-170,1,1,0,1,ISOLATED_BOUNDARY,"Fábio Baiano"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,170,1,1,0,1,ISOLATED_BOUNDARY,"Fábio Baiano"
PERSON_DATABASE_ID,KNOWN_REFERENCE_BEFORE,-171,1,1,1,0,ISOLATED_BOUNDARY,"Júlio César Moraes"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,171,1,1,1,0,ISOLATED_BOUNDARY,"Júlio César Moraes"
PERSON_DATABASE_ID,KNOWN_REFERENCE_BEFORE,-174,1,1,1,0,ISOLATED_BOUNDARY,"Fabiano Eller"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,174,1,1,1,0,ISOLATED_BOUNDARY,"Fabiano Eller"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-175,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,178,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-178,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-179,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,182,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
