club_record_index,club_id,header_offset,field1,field2,field3,full_name,short_name,name_offset,name_distance,score,confidence
204,983,0x0009D41C,146,255,255,"Panathinaikos AO","Panathinaikos",643961,93,105,HIGH
205,984,0x0009D51A,158,255,255,"GS Neos Panionios","Panionios",644261,53,105,HIGH
206,991,0x0009D5C2,158,255,255,"AZ Alkmaar","AZ",644464,46,105,HIGH
207,992,0x0009D6E8,158,255,255,"AFC Ajax","Ajax",644683,121,105,HIGH
208,1000,0x0009D7B4,158,255,255,"De Graafschap","De Graafschap",644942,38,105,HIGH
209,1001,0x0009D86E,158,255,255,"FC Dordrecht","Dordrecht",645130,46,105,HIGH
210,1007,0x0009D93E,158,255,255,"FC Groningen","FC Groningen",645316,62,105,HIGH
211,1009,0x0009DA21,158,255,255,"FC Twente","FC Twente",645555,62,105,HIGH
212,1010,0x0009DB08,158,255,255,"FC Utreque","FC Utreque",645782,62,105,HIGH
213,1011,0x0009DBB6,158,255,255,"FC Volendam","Volendam",645982,38,105,HIGH
214,1013,0x0009DCBF,158,255,255,"Feyenoord","Feyenoord",646218,69,105,HIGH
215,1024,0x0009DDB2,158,255,255,"NAC Breda","NAC Breda",646452,78,105,HIGH
216,1025,0x0009DE9E,158,255,255,"NEC Nijmegen","NEC",646710,62,105,HIGH
217,1028,0x0009DF9C,158,255,255,"PSV Eindhoven","PSV",646946,78,105,HIGH
218,1031,0x0009E046,158,255,255,"RBC Roosendaal","RBC",647154,38,105,HIGH
219,1032,0x0009E0F4,158,255,255,"RKC Waalwijk","RKC",647324,46,105,HIGH
220,1033,0x0009E1C7,158,255,255,"Roda JC","Roda JC",647529,54,105,HIGH
221,1036,0x0009E2B4,158,255,255,"SC Heerenveen","Heerenveen",647740,62,105,HIGH
222,1042,0x0009E358,158,255,255,"TOP Oss","TOP",647946,46,105,HIGH
223,1046,0x0009E43B,147,255,255,"Vitesse","Vitesse",648141,70,105,HIGH
224,1052,0x0009E51C,147,255,255,"Debreceni VSC","Debrecen",648368,54,105,HIGH
225,1055,0x0009E62F,147,255,255,"Ferencvárosi Torna Club","Ferencváros",648593,78,105,HIGH
226,1059,0x0009E6F7,147,255,255,"Budapest Honvéd FC","Honvéd",648837,54,105,HIGH
227,1060,0x0009E7DA,147,255,255,"MTK Budapest FC","MTK",649068,62,105,HIGH
228,1062,0x0009E89A,147,255,255,"Videoton FC Fehérvár","Videoton",649264,38,105,HIGH
229,1064,0x0009E97F,147,255,255,"Újpest FC","Újpest",649487,70,105,HIGH
230,1068,0x0009EA4E,148,255,255,"ZTE Football Club","ZTE",649716,38,105,HIGH
231,1070,0x0009EB10,148,255,255,"Fimleikafélag Hafnarfjarðar","FH",649892,38,105,HIGH
232,1072,0x0009EBED,148,255,255,"Íþróttafélag Akraness","ÍA",650117,46,105,HIGH
233,1076,0x0009ECE0,149,255,255,"Knattspyrnufélag Reykjavíkur","KR",650338,54,105,HIGH
234,1085,0x0009EDC3,149,255,255,"Hapoel Beer-Sheva","H. Beer-Sheva",650550,69,105,HIGH
235,1090,0x0009EEB5,149,255,255,"Hapoel Tel-Aviv","H. Tel-Aviv",650808,61,105,HIGH
236,1093,0x0009EF96,149,255,255,"Maccabi Haifa","M. Haifa",651050,54,105,HIGH
237,1096,0x0009F060,149,255,255,"Maccabi Petach-Tikva","Maccabi Petah",651244,38,105,HIGH
238,1097,0x0009F15C,150,255,255,"Maccabi Tel-Aviv","M. Tel-Aviv",651477,69,105,HIGH
239,1099,0x0009F2E5,150,255,255,"AC Milão","Milão",651778,189,105,HIGH
240,1100,0x0009F419,150,255,255,"AS Roma","Roma",652146,133,105,HIGH
241,1105,0x0009F4D8,150,255,255,"Ascoli","Ascoli",652399,69,105,HIGH
242,1106,0x0009F5DF,150,255,255,"Atalanta","Atalanta",652590,133,105,HIGH
243,1111,0x0009F6DB,150,255,255,"Bolonha","Bolonha",652886,93,105,HIGH
244,1113,0x0009F7B7,150,255,255,"Brescia","Brescia",653122,77,105,HIGH
245,1114,0x0009F87E,150,255,255,"Cagliari","Cagliari",653325,69,105,HIGH
246,1119,0x0009F951,150,255,255,"Catanzaro","Catanzaro",653524,77,105,HIGH
247,1120,0x0009FA10,150,255,255,"Cesena","Cesena",653735,69,105,HIGH
248,1122,0x0009FB27,150,255,255,"Chievo Verona","Chievo",653959,110,105,HIGH
249,1129,0x0009FC3F,150,255,255,"Fiorentina","Fiorentina",654238,109,105,HIGH
250,1132,0x0009FD18,150,255,255,"Génova 1893","Génova",654485,85,105,HIGH
251,1135,0x0009FE9F,150,255,255,"Internazionale de Milão","Inter",654774,165,105,HIGH
252,1139,0x000A0052,150,255,255,"Juventus","Juventus",655177,221,105,HIGH
253,1140,0x000A01C5,150,255,255,"Lázio","Lázio",655584,197,105,HIGH
254,1141,0x000A0299,150,255,255,"Lecce","Lecce",655924,69,105,HIGH
255,1147,0x000A0380,150,255,255,"Modena","Modena",656111,109,105,HIGH
256,1150,0x000A045B,150,255,255,"Nápoles","Nápoles",656342,93,105,HIGH
257,1156,0x000A0553,150,255,255,"Parma","Parma",656598,93,105,HIGH
258,1157,0x000A0645,150,255,255,"Perugia","Perugia",656840,85,105,HIGH
259,1158,0x000A0708,150,255,255,"Pescara","Pescara",657051,69,105,HIGH
260,1165,0x000A07C3,150,255,255,"Reggina","Reggina",657246,61,105,HIGH
261,1167,0x000A08A0,150,255,255,"Sampdória","Sampdória",657435,85,105,HIGH
262,1170,0x000A0964,150,255,255,"Siena","Siena",657654,78,105,HIGH
263,1174,0x000A0A1F,150,255,255,"Turim","Turim",657850,69,105,HIGH
264,1178,0x000A0B20,150,255,255,"Udinese","Udinese",658083,85,105,HIGH
265,1181,0x000A0BE3,61,255,255,"Vicenza","Vicenza",658294,69,105,HIGH
266,1184,0x000A0CA7,61,255,255,"Tsuno Shadows","Tsuno Shadows",658489,46,105,HIGH
267,1188,0x000A0D6B,61,255,255,"Neriwa Gabe","Neriwa Gabe",658685,54,105,HIGH
268,1189,0x000A0E57,61,255,255,"Sfida Oshiwa F.C.","Sfida Oshiwa F.C.",658881,70,105,HIGH
269,1191,0x000A0F13,61,255,255,"Kashiba Stolz","Kashiba Stolz",659117,38,105,HIGH
270,1194,0x000A0FD3,61,255,255,"FC Tokunyawa","FC Tokunyawa",659305,46,105,HIGH
271,1196,0x000A109F,4294967295,255,255,"Uto Gun Gluck","Uto Gun Gluck",659497,54,105,HIGH
272,1197,0x000A115D,61,255,255,"Yokohama Flugels","Flugels",659701,46,105,HIGH
