reference_kind,data_type,relative_offset,flamengo_players,corinthians_players,distinct_players,total_hits,flamengo_names,corinthians_names,assessment
INTERNAL_PERSON_ID,UINT16,-570,0,1,1,1,"","Rosinei",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,-570,0,1,1,1,"","Rosinei",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,581,0,1,1,1,"","Bruno Octávio",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,581,0,1,1,1,"","Bruno Octávio",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,591,1,0,1,1,"Bruno Santos","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,591,1,0,1,1,"Bruno Santos","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,593,0,1,1,1,"","Marcelo Magalhães",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,593,0,1,1,1,"","Marcelo Magalhães",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,601,0,1,1,1,"","Rosinei",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,601,0,1,1,1,"","Rosinei",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,617,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-621,0,1,1,1,"","Marcelo Magalhães",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,-621,0,1,1,1,"","Marcelo Magalhães",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-622,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,-626,0,1,1,1,"","Rosinei",AUXILIARY_REFERENCE
